# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
(абсолютною)	absolute
*наивысше	the highest
*наименьш	the least
*наименьша	the least
*наименьше	the least
*наркотическ	narcotic
*наркотическа	narcotic
*наркотическо	narcotic
*нау`чно-исследовательск	research
*нау`чно-исследовательска	research
*нау`чно-исследовательско	research
*неорганическ	inorganic
*неорганическа	inorganic
*неорганическо	inorganic
*неправ	unjust
*неправа	unjust
*неправо	unjust
*низш	lower
*низша	lower
*низше	lower
*нобелевск	Nobel
*нобелевска	Nobel
*нобелевско	Nobel
*новейш	newest
*новейша	newest
*новейше	newest
*о`бщероссийск	All-Russian
*о`бщероссийска	All-Russian
*о`бщероссийско	All-Russian
*олимпийск	Olympic
*олимпийска	Olympic
*олимпийско	Olympic
*онкологическ	oncologic
*онкологическа	oncologic
*онкологическо	oncologic
*оптическ	optical
*оптическа	optical
*оптическо	optical
*органическ	organic
*органическа	organic
*органическо	organic
*отцовск	father's
*отцовска	father's
*отцовско	father's
*отч	paternal
*отча	paternal
*отче	paternal
*павш	the fallen
*павша	the fallen
*павше	the fallen
*парламентск	parliamentary
*парламентска	parliamentary
*парламентско	parliamentary
*партизанск	partisan
*партизанска	partisan
*партизанско	partisan
*первомайск	May-Day
*первомайска	May-Day
*первомайско	May-Day
*пиратск	piratic
*пиратска	piratic
*пиратско	piratic
*пластическ	plastic
*пластическа	plastic
*пластическо	plastic
*повстанческ	rebel
*повстанческа	rebel
*повстанческо	rebel
*погибш	lost
*погибша	lost
*погибше	lost
*политехническ	polytechnic
*политехническа	polytechnic
*политехническо	polytechnic
*посторонен	strange
*поэтическ	poetic
*поэтическа	poetic
*поэтическо	poetic
*правот	rightnesses
*правотам	rightnesses
*правотами	rightnesses
*правотах	rightnesses
*правоты	rightnesses
*президентск	presidential
*президентска	presidential
*президентско	presidential
*прибалтийск	Baltic
*прибалтийска	Baltic
*прибалтийско	Baltic
*приезж	newly arrived
*приезжа	newly arrived
*приезже	newly arrived
*пролетарск	proletarian
*пролетарска	proletarian
*пролетарско	proletarian
*пропагандистск	propagandistic
*пропагандистска	propagandistic
*пропагандистско	propagandistic
*простейш	protozoa
*простейша	protozoa
*простейше	protozoa
*простот	simplicities
*простотам	simplicities
*простотами	simplicities
*простотах	simplicities
*простоты	simplicities
*прошлогоден	of last year
*прусск	Prussian
*прусска	Prussian
*прусско	Prussian
*пухам	downs
*пухами	downs
*пухах	downs
*пухи	downs
*пухов	downs
*пушкинск	pushkin
*пушкинска	pushkin
*пушкинско	pushkin
*пылец	pollens
*пыли	dusts
*пыльцам	pollens
*пыльцами	pollens
*пыльцах	pollens
*пыльцы	pollens
*пылям	dusts
*пылями	dusts
*пылях	dusts
*развесела	merry
*развесело	merry
*республиканск	republican
*республиканска	republican
*республиканско	republican
*риторическ	rhetorical
*риторическа	rhetorical
*риторическо	rhetorical
*родительск	paternal
*родительска	paternal
*родительско	paternal
*родств	relationships
*родства	relationships
*родствам	relationships
*родствами	relationships
*родствах	relationships
*рождественск	Christmas
*рождественска	Christmas
*рождественско	Christmas
*романтическ	romantic
*романтическа	romantic
*романтическо	romantic
*румынск	Romanian
*румынска	Romanian
*румынско	Romanian
*светам	lights
*светами	lights
*светах	lights
*светов	lights
*светы	lights
*свойств	properties
*свойства	properties
*свойствам	properties
*свойствами	properties
*свойствах	properties
*святейш	most holy
*святейша	most holy
*святейше	most holy
*символическ	symbolic
*символическа	symbolic
*символическо	symbolic
*синтетическ	synthetic
*синтетическа	synthetic
*синтетическо	synthetic
*сирийск	Syrian
*сирийска	Syrian
*сирийско	Syrian
*систематическ	systematic
*систематическа	systematic
*систематическо	systematic
*скандинавск	Scandinavian
*скандинавска	Scandinavian
*скандинавско	Scandinavian
*социа`л-демократическ	social-democratic
*социа`л-демократическа	social-democratic
*социа`л-демократическо	social-democratic
*социологическ	sociological
*социологическа	sociological
*социологическо	sociological
*старейш	oldest
*старейша	oldest
